"id","name","application_id","priority","sun_angle","minimum_latitude","maximum_latitude","minimum_longitude","maximum_longitude","pixel_resolution","description","details","created_at","updated_at"
3,"M109215691LE",1,1.00,1.57,25.59,26.53,3.62,3.74,0.48,NULL,"<sun_angle>1.5708</sun_angle><width>5082</width><height>8599</height>","0000-00-00 00:00:00","2015-07-21 01:03:11"
4,"M109215691RE",1,1.00,1.57,25.59,26.53,3.54,3.65,0.48,NULL,"<sun_angle>1.5708</sun_angle><width>5012</width><height>8594</height>","0000-00-00 00:00:00","2015-07-21 01:03:11"
5,"M111578606RE",1,1.00,2.36,25.59,26.54,3.50,3.64,0.50,NULL,"<sun_angle>2.35619</sun_angle><width>4233</width><height>8350</height>","0000-00-00 00:00:00","2015-07-21 01:03:11"
6,"M112639452LE",1,1.00,0.79,-53.74,-53.32,-160.68,-160.49,0.62,NULL,"<sun_angle>0.785398</sun_angle><width>9188</width><height>34083</height>","0000-00-00 00:00:00","2015-07-21 01:03:11"
7,"M112639452RE",1,1.00,0.70,-53.74,-53.32,-160.84,-160.65,0.62,NULL,"<sun_angle>0.698132</sun_angle><width>9222</width><height>34195</height>","0000-00-00 00:00:00","2015-07-21 01:03:11"
8,"M113934743LE",1,1.00,2.79,25.22,26.17,3.61,3.72,0.45,NULL,"<sun_angle>2.79253</sun_angle><width>6357</width><height>5796</height>","0000-00-00 00:00:00","2015-07-21 01:03:11"
9,"M113934743RE",1,1.00,3.14,25.22,26.16,3.53,3.64,0.45,NULL,"<sun_angle>3.14159</sun_angle><width>4408</width><height>5647</height>","0000-00-00 00:00:00","2015-07-21 01:03:11"
10,"M115008450LE",1,1.00,0.31,-59.20,-57.13,-162.27,-161.99,0.90,NULL,"<sun_angle>0.314159</sun_angle><width>9289</width><height>132859</height>","0000-00-00 00:00:00","2015-07-21 01:03:11"
11,"M115008450RE",1,1.00,0.30,-59.20,-57.13,-162.46,-162.17,0.89,NULL,"<sun_angle>0.296706</sun_angle><width>9670</width><height>133284</height>","0000-00-00 00:00:00","2015-07-21 01:03:11"
12,"M117467833RE",1,1.00,3.32,25.66,26.61,3.58,3.67,0.40,NULL,"<sun_angle>3.31613</sun_angle><width>6417</width><height>10342</height>","0000-00-00 00:00:00","2015-07-21 01:03:11"
13,"M119822622LE",1,1.00,3.32,25.23,26.18,3.57,3.71,0.42,NULL,"<sun_angle>3.31613</sun_angle><width>9561</width><height>7194</height>","0000-00-00 00:00:00","2015-07-21 01:03:11"
14,"M119829425LE",1,1.00,0.35,26.09,27.04,3.57,3.67,0.44,NULL,"<sun_angle>0.349066</sun_angle><width>6934</width><height>9471</height>","0000-00-00 00:00:00","2015-07-21 01:03:11"
15,"M120920427LE",1,1.00,2.36,-58.15,-57.10,-161.85,-161.63,0.61,NULL,"<sun_angle>2.35619</sun_angle><width>11329</width><height>97730</height>","0000-00-00 00:00:00","2015-07-21 01:03:11"
16,"M120920427RE",1,1.00,2.36,-58.15,-57.09,-161.67,-161.44,0.61,NULL,"<sun_angle>2.35619</sun_angle><width>11569</width><height>98022</height>","0000-00-00 00:00:00","2015-07-21 01:03:11"
